$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<throughput-write
1,6,4,32,25,75,16,128,1,56.3676
1,8,4,16,75,25,64,1024,0,724.1383333333
1,4,2,8,100,0,16,64,1,0
1,8,2,16,100,0,16,64,1,0
1,10,4,16,100,0,16,64,2,0
1,8,4,16,25,75,64,1024,0,1153.60875
1,8,4,32,100,0,16,64,1,0
1,10,2,8,75,25,16,128,2,53.7870833333
1,10,2,8,75,25,16,128,1,46.2133333333
1,8,4,16,25,75,64,1024,2,761.66375
1,8,2,16,25,75,16,128,2,63.2795833333
1,8,2,16,25,75,16,128,1,69.87375
1,8,4,16,25,75,16,128,1,73.165
1,4,4,16,0,100,16,64,2,52.522
1,10,4,16,0,100,16,64,2,80.725
1,4,2,8,25,75,16,128,2,48.1641666667
1,4,2,8,25,75,16,128,1,42.3704166667
1,8,1,8,100,0,16,64,1,0
1,8,1,8,100,0,16,64,2,0
1,6,4,16,50,50,16,128,1,63.49
1,4,2,16,50,50,16,128,1,40.7172
1,8,1,8,0,100,16,64,2,65.9629166667
1,10,4,16,25,75,16,128,2,76.91625
1,8,4,32,75,25,16,128,2,70.0932
1,4,2,16,100,0,64,1024,1,0
1,4,4,32,25,75,16,128,2,50.6016
1,6,2,8,25,75,16,128,1,55.8812
1,6,2,8,25,75,16,128,2,61.6333333333
1,6,4,32,50,50,16,128,1,56.3736
1,6,4,32,50,50,16,128,2,64.5888
1,8,1,4,75,25,16,128,2,30.2308333333
1,4,2,8,0,100,16,64,2,47.7491666667
1,4,2,8,0,100,16,64,1,42.0108333333
1,8,1,8,50,50,16,128,2,55.3120833333
1,10,4,32,50,50,16,128,1,74.6825
1,10,4,32,50,50,16,128,2,82.2125
1,4,1,4,100,0,16,64,1,0
1,6,4,32,100,0,16,64,1,0
1,6,4,32,25,75,16,128,2,62.3964
