,$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
47,0.0,0.07692,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.117
48,0.0,0.07692,0.33333,0.09677,1.0,0.0,0.0,0.0,0.0,0.08648
49,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
50,0.0,0.15385,0.33333,0.03226,0.25,0.75,0.0,0.0,0.0,0.08165
51,0.0,0.07692,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.16074
52,0.0,0.07692,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.26256
53,0.0,1.0,1.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.09259
54,0.0,0.07692,0.33333,0.03226,0.25,0.75,0.0,0.0,0.0,0.13433
55,0.0,0.15385,0.0,0.03226,0.1,0.9,0.0,0.0,0.0,0.13446
56,0.0,0.61538,0.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.19536
57,0.0,0.15385,0.33333,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
58,0.0,0.23077,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.06486
59,0.0,0.07692,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.13814
60,0.0,0.07692,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.15048
61,0.0,0.23077,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.06196
62,0.0,0.0,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.30855
63,0.0,0.0,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.23836
64,0.0,0.07692,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.11875
65,0.0,0.61538,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.14964
66,0.0,0.07692,0.33333,0.03226,0.1,0.9,0.0,0.0,0.0,0.1507
67,0.0,0.0,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.2478
68,0.0,0.0,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.18807
69,0.0,0.15385,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.20481
70,0.0,0.61538,0.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.16987
71,0.0,0.23077,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
72,0.0,0.23077,1.0,0.22581,1.0,0.0,0.0,0.0,0.0,0.0569
73,0.0,0.07692,0.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.18581
74,0.0,0.23077,0.33333,0.48387,0.75,0.25,0.0,0.0,0.0,0.09016
75,0.0,0.0,1.0,0.48387,0.1,0.9,0.0,0.0,0.0,0.47982
76,0.0,0.61538,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.14408
77,0.0,0.15385,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.09114
78,0.0,0.0,0.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.14779
79,0.0,0.61538,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18341
80,0.0,0.61538,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.12335
81,0.0,0.07692,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.11757
82,0.0,0.23077,0.33333,0.09677,0.25,0.75,0.0,0.0,0.0,0.06541
83,0.0,0.23077,0.33333,0.22581,0.5,0.5,0.0,0.0,0.0,0.07301
84,0.0,0.07692,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.15123
85,0.0,0.23077,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.06153
86,0.0,0.0,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.15134
87,0.0,0.0,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
88,0.0,0.23077,1.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
89,0.0,0.07692,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.09884
90,0.0,0.0,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.13847
91,0.0,0.23077,0.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.0964
92,0.0,0.07692,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.09661
93,0.0,0.0,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.20266
94,0.0,0.15385,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.10032
95,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.12628
96,0.0,0.07692,1.0,1.0,0.1,0.9,0.0,0.0,0.0,0.43664
97,0.0,0.15385,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.10519
98,0.0,1.0,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.19711
99,0.0,0.15385,0.33333,0.03226,0.0,1.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.22581,0.5,0.5,0.0,0.0,0.0,0.306
101,0.0,1.0,0.33333,0.22581,0.1,0.9,0.0,0.0,0.0,0.15065
102,0.0,0.61538,1.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.08933
103,0.0,0.61538,0.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
104,0.0,0.15385,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.08497
105,0.0,1.0,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.25798
106,0.0,1.0,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.15959
107,0.0,0.23077,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.15707
108,0.0,0.07692,1.0,0.09677,1.0,0.0,0.0,0.0,0.0,0.06801
109,0.0,0.15385,0.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.10536
110,0.0,0.0,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.26824
111,0.0,0.61538,0.33333,0.22581,0.25,0.75,0.0,0.0,0.0,0.12015
112,0.0,0.15385,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.10333
113,0.0,0.15385,0.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.12001
114,0.0,0.61538,1.0,0.48387,0.1,0.9,0.0,0.0,0.0,0.1402
115,0.0,0.61538,0.33333,0.22581,0.9,0.1,0.0,0.0,0.0,0.12828
116,0.0,0.07692,0.0,0.03226,0.25,0.75,0.0,0.0,0.0,0.15954
117,0.0,0.15385,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.06505
118,0.0,0.07692,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.08904
119,0.0,1.0,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.14461
120,0.0,0.07692,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.11314
121,0.0,0.15385,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.14302
