,mon,osd,driver,worker,read,write,container,object,size,throughput-read
1mon20osd_4driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123152651,1,20,4,16,25,75,16,4096,0,24.950555555555557
1mon20osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123140811,1,20,4,4,50,50,16,4096,0,51.15083333333333
1mon20osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123101456,1,20,1,2,0,100,16,4096,0,0.0
1mon30osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123015838,1,30,1,2,90,10,16,4096,0,50.92222222222223
1mon6osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124111518,1,6,2,4,10,90,16,4096,0,7.724166666666665
1mon4osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124174409,1,4,2,2,10,90,16,4096,0,4.969166666666667
1mon8osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124020330,1,8,1,2,0,100,16,4096,0,0.0
1mon6osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124101427,1,6,1,8,0,100,16,4096,0,0.0
1mon30osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123021407,1,30,1,2,25,75,16,4096,0,11.120555555555555
1mon8osd_2driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151124045503,1,8,2,16,100,0,16,4096,0,598.8069444444443
1mon4osd_2driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124190355,1,4,2,16,90,10,16,4096,0,247.51916666666668
1mon20osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123143405,1,20,4,8,90,10,16,4096,0,297.87138888888893
1mon30osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151123020346,1,30,1,2,75,25,16,4096,0,37.89694444444444
1mon6osd_2driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151124115845,1,6,2,16,100,0,16,4096,0,441.2619444444444
1mon30osd_4driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123075332,1,30,4,16,25,75,16,4096,0,25.171666666666667
1mon20osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123120548,1,20,2,4,100,0,16,4096,0,157.52555555555557
1mon30osd_1driver_50read50write0delete_1worker_16container_4096object_512KB_180sec_20151123013302,1,30,1,1,50,50,16,4096,0,12.886388888888892
1mon8osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124053846,1,8,4,4,75,25,16,4096,0,136.15138888888887
1mon8osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151124072454,1,8,4,32,75,25,16,4096,0,221.79805555555555
1mon4osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124160918,1,4,1,2,0,100,16,4096,0,0.0
1mon4osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124193315,1,4,4,4,100,0,16,4096,0,141.30499999999998
1mon30osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151123081523,1,30,4,32,90,10,16,4096,0,622.0866666666667
1mon8osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151124010825,1,8,1,1,90,10,16,4096,0,38.12388888888889
1mon6osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124094118,1,6,1,4,0,100,16,4096,0,0.0
1mon30osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123030112,1,30,1,4,0,100,16,4096,0,0.0
1mon6osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124132559,1,6,4,8,25,75,16,4096,0,25.564999999999998
1mon6osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151124134046,1,6,4,16,100,0,16,4096,0,750.5475000000001
1mon10osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123210807,1,10,2,4,10,90,16,4096,0,7.830833333333333
1mon4osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124154212,1,4,1,2,100,0,16,4096,0,63.66166666666665
1mon20osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151123153211,1,20,4,16,10,90,16,4096,0,8.794324324324323
1mon10osd_4driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123224558,1,10,4,4,25,75,16,4096,0,22.386111111111116
1mon30osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123073642,1,30,4,16,90,10,16,4096,0,395.9816216216217
1mon30osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151123012755,1,30,1,1,75,25,16,4096,0,20.679166666666664
1mon8osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124060753,1,8,4,8,90,10,16,4096,0,383.9316666666666
1mon6osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151124083157,1,6,1,1,10,90,16,4096,0,3.0841666666666665
1mon30osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123064122,1,30,4,4,10,90,16,4096,0,6.535277777777779
1mon4osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124163209,1,4,1,4,25,75,16,4096,0,18.730270270270275
1mon6osd_2driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124120319,1,6,2,16,90,10,16,4096,0,335.11277777777775
1mon6osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124130158,1,6,4,4,0,100,16,4096,0,0.0
1mon6osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124100000,1,6,1,8,50,50,16,4096,0,69.38277777777779
1mon10osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151123221627,1,10,2,16,10,90,16,4096,0,8.967777777777778
1mon8osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124033758,1,8,2,2,10,90,16,4096,0,5.1875
1mon20osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123141832,1,20,4,4,10,90,16,4096,0,6.8805555555555555
1mon4osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124210346,1,4,4,16,10,90,16,4096,0,7.497837837837838
1mon8osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124033316,1,8,2,2,25,75,16,4096,0,14.408611111111108
1mon8osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124025029,1,8,1,8,75,25,16,4096,0,166.8005555555556
1mon8osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124055325,1,8,4,4,10,90,16,4096,0,7.78388888888889
1mon10osd_4driver_10read90write0delete_32worker_16container_4096object_512KB_180sec_20151124003530,1,10,4,32,10,90,16,4096,0,8.525135135135136
1mon20osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123132640,1,20,2,16,75,25,16,4096,0,204.56027027027028
1mon10osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151124004040,1,10,4,32,0,100,16,4096,0,0.0
1mon4osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124173027,1,4,2,2,75,25,16,4096,0,40.26555555555555
1mon8osd_4driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124054828,1,8,4,4,25,75,16,4096,0,23.184444444444445
1mon10osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123190345,1,10,1,4,100,0,16,4096,0,172.04305555555555
1mon10osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123194628,1,10,1,8,75,25,16,4096,0,169.41722222222222
1mon10osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123202945,1,10,2,2,25,75,16,4096,0,14.516944444444444
1mon30osd_4driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123063535,1,30,4,4,25,75,16,4096,0,20.588611111111113
1mon8osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124071007,1,8,4,16,0,100,16,4096,0,0.0
1mon6osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151124142919,1,6,4,32,50,50,16,4096,0,76.3381081081081
1mon6osd_1driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124093626,1,6,1,4,10,90,16,4096,0,7.404864864864865
1mon6osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151124141450,1,6,4,32,100,0,16,4096,0,1027.3580555555554
1mon30osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123040439,1,30,2,2,25,75,16,4096,0,12.894444444444446
1mon4osd_1driver_50read50write0delete_1worker_16container_4096object_512KB_180sec_20151124152404,1,4,1,1,50,50,16,4096,0,14.434722222222225
1mon6osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124133552,1,6,4,8,0,100,16,4096,0,0.0
1mon8osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124034734,1,8,2,4,100,0,16,4096,0,267.7055555555555
1mon6osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124122250,1,6,2,16,10,90,16,4096,0,8.369459459459456
1mon30osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123073126,1,30,4,16,100,0,16,4096,0,487.1605405405406
1mon6osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124124232,1,6,4,4,75,25,16,4096,0,105.85138888888889
1mon6osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151124080915,1,6,1,1,100,0,16,4096,0,30.98861111111111
1mon20osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123114555,1,20,2,2,50,50,16,4096,0,25.45861111111111
1mon10osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123194145,1,10,1,8,90,10,16,4096,0,254.5241666666667
1mon6osd_4driver_10read90write0delete_32worker_16container_4096object_512KB_180sec_20151124143916,1,6,4,32,10,90,16,4096,0,8.827777777777776
1mon30osd_2driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123054023,1,30,2,16,90,10,16,4096,0,420.80324324324323
1mon30osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123023502,1,30,1,4,90,10,16,4096,0,93.2911111111111
1mon4osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124202017,1,4,4,8,50,50,16,4096,0,59.59694444444444
1mon20osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123103443,1,20,1,4,50,50,16,4096,0,41.8354054054054
1mon20osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151123154254,1,20,4,32,100,0,16,4096,0,765.3191666666667
1mon6osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124085916,1,6,1,2,25,75,16,4096,0,13.071388888888889
1mon4osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124192802,1,4,2,16,0,100,16,4096,0,0.0
1mon30osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123072557,1,30,4,8,0,100,16,4096,0,0.0
1mon6osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124094606,1,6,1,8,100,0,16,4096,0,250.92194444444442
1mon10osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123231521,1,10,4,8,50,50,16,4096,0,72.39666666666668
1mon20osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123105500,1,20,1,8,100,0,16,4096,0,170.54054054054052
1mon6osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124084103,1,6,1,2,100,0,16,4096,0,69.90999999999998
1mon10osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123211301,1,10,2,4,0,100,16,4096,0,0.0
1mon20osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123100504,1,20,1,2,25,75,16,4096,0,11.651944444444446
1mon30osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151123060236,1,30,2,16,10,90,16,4096,0,8.3475
1mon20osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151123134227,1,20,2,16,10,90,16,4096,0,8.85138888888889
1mon6osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124092701,1,6,1,4,50,50,16,4096,0,48.285277777777786
1mon4osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124181634,1,4,2,4,10,90,16,4096,0,7.148888888888889
1mon6osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124095519,1,6,1,8,75,25,16,4096,0,142.9477777777778
1mon4osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124183954,1,4,2,8,50,50,16,4096,0,58.76567567567567
1mon4osd_1driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124163657,1,4,1,4,10,90,16,4096,0,7.706944444444444
1mon8osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124013553,1,8,1,2,100,0,16,4096,0,86.85944444444443
1mon6osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124090353,1,6,1,2,10,90,16,4096,0,5.0313888888888885
1mon8osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124022642,1,8,1,4,25,75,16,4096,0,22.214166666666667
1mon10osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151124002518,1,10,4,32,50,50,16,4096,0,75.57972972972972
1mon6osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124084537,1,6,1,2,90,10,16,4096,0,59.97833333333334
1mon30osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123062956,1,30,4,4,50,50,16,4096,0,51.314722222222215
1mon8osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151124010347,1,8,1,1,100,0,16,4096,0,35.828611111111115
1mon8osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124050916,1,8,2,16,50,50,16,4096,0,78.2238888888889
1mon20osd_4driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123141320,1,20,4,4,25,75,16,4096,0,20.083888888888886
1mon20osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123101954,1,20,1,4,100,0,16,4096,0,103.87583333333335
1mon4osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151124212254,1,4,4,32,75,25,16,4096,0,178.76722222222222
1mon8osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124014022,1,8,1,2,90,10,16,4096,0,72.17472222222221
1mon4osd_2driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124182610,1,4,2,8,100,0,16,4096,0,246.91500000000002
1mon10osd_1driver_50read50write0delete_1worker_16container_4096object_512KB_180sec_20151123181236,1,10,1,1,50,50,16,4096,0,17.31972222222222
1mon10osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123232521,1,10,4,8,10,90,16,4096,0,9.472222222222223
1mon6osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124120803,1,6,2,16,75,25,16,4096,0,200.76444444444442
