,mon,osd,driver,worker,read,write,container,object,size,throughput-write
1mon30osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123050757,1,30,2,8,75,25,16,4096,0,58.038055555555566
1mon4osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124170052,1,4,1,8,50,50,16,4096,0,53.096388888888896
1mon4osd_2driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151124185926,1,4,2,16,100,0,16,4096,0,0.0
1mon6osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124123320,1,6,4,4,100,0,16,4096,0,0.0
1mon30osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123070402,1,30,4,8,75,25,16,4096,0,59.95666666666667
1mon8osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124041615,1,8,2,4,0,100,16,4096,0,72.26
1mon6osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124121755,1,6,2,16,25,75,16,4096,0,77.40666666666667
1mon8osd_4driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124070002,1,8,4,16,25,75,16,4096,0,78.3775
1mon6osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124103309,1,6,2,2,50,50,16,4096,0,30.43111111111111
1mon20osd_1driver_25read75write0delete_1worker_16container_4096object_512KB_180sec_20151123093050,1,20,1,1,25,75,16,4096,0,19.65638888888889
1mon10osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123191257,1,10,1,4,75,25,16,4096,0,36.30361111111111
1mon30osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123024016,1,30,1,4,75,25,16,4096,0,24.075000000000003
1mon8osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124024548,1,8,1,8,90,10,16,4096,0,26.89722222222222
1mon30osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123033830,1,30,1,8,0,100,16,4096,0,76.05138888888888
1mon20osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151123091023,1,20,1,1,100,0,16,4096,0,0.0
