$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-read
1,8,1,1,50,50,16,4096,0,78.7777777778
1,10,4,4,50,50,16,4096,0,285.0555555556
1,4,4,8,75,25,16,4096,0,556.6111111111
1,10,4,32,25,75,16,4096,0,122.8918918919
1,30,2,2,10,90,16,4096,0,22.5833333333
1,30,4,8,50,50,16,4096,0,355.0277777778
1,4,4,4,90,10,16,4096,0,479.75
1,8,4,4,0,100,16,4096,0,0
1,20,2,8,90,10,16,4096,0,1085.7567567568
1,4,2,8,75,25,16,4096,0,561.8611111111
1,4,4,4,75,25,16,4096,0,334.0555555556
1,10,1,2,0,100,16,4096,0,0
1,20,2,8,100,0,16,4096,0,1242.8055555556
1,30,4,32,25,75,16,4096,0,122.7777777778
1,10,2,2,0,100,16,4096,0,0
1,6,2,8,50,50,16,4096,0,352.3055555556
1,20,2,4,75,25,16,4096,0,438.1111111111
1,10,2,2,50,50,16,4096,0,184.9166666667
1,4,4,8,10,90,16,4096,0,36.5555555556
1,30,2,16,50,50,16,4096,0,378.2777777778
1,4,2,4,75,25,16,4096,0,346.2777777778
1,8,1,2,75,25,16,4096,0,265.8611111111
1,4,2,4,100,0,16,4096,0,691.6388888889
1,10,2,2,90,10,16,4096,0,563.5555555556
1,6,4,32,25,75,16,4096,0,127.8888888889
1,8,4,16,50,50,16,4096,0,368.5833333333
1,30,1,2,10,90,16,4096,0,23.3611111111
1,20,1,2,90,10,16,4096,0,234.5
1,8,1,8,0,100,16,4096,0,0
1,20,4,16,75,25,16,4096,0,1061.5833333333
1,20,1,8,90,10,16,4096,0,858.4444444444
1,20,1,2,100,0,16,4096,0,256.3888888889
1,10,4,4,90,10,16,4096,0,1151.8333333333
1,30,1,8,50,50,16,4096,0,326.2972972973
1,20,1,4,10,90,16,4096,0,34.5833333333
1,6,2,4,75,25,16,4096,0,498
1,20,2,8,50,50,16,4096,0,343.5555555556
1,30,2,4,0,100,16,4096,0,0
1,6,2,2,10,90,16,4096,0,26.5277777778
1,4,1,8,10,90,16,4096,0,37.3333333333
1,30,4,16,10,90,16,4096,0,41.8055555556
1,20,2,8,25,75,16,4096,0,125.2222222222
1,20,4,8,100,0,16,4096,0,1713.1081081081
1,30,4,32,50,50,16,4096,0,361.0810810811
1,8,2,8,50,50,16,4096,0,383.8333333333
1,10,1,4,50,50,16,4096,0,259.4722222222
1,30,2,4,10,90,16,4096,0,35
1,8,4,8,75,25,16,4096,0,1014.6111111111
1,8,2,16,0,100,16,4096,0,0
1,8,1,2,10,90,16,4096,0,25.0833333333
1,4,1,1,100,0,16,4096,0,143.4722222222
1,10,1,4,25,75,16,4096,0,106.9444444444
1,8,2,4,75,25,16,4096,0,597.6666666667
1,20,1,2,10,90,16,4096,0,22.8611111111
1,6,2,4,50,50,16,4096,0,255.9722222222
1,4,1,8,100,0,16,4096,0,1023.8055555556
1,20,1,4,75,25,16,4096,0,355.3888888889
1,10,2,4,90,10,16,4096,0,1019.0277777778
1,4,1,4,50,50,16,4096,0,202.9166666667
1,10,2,16,50,50,16,4096,0,381.8611111111
1,20,4,16,90,10,16,4096,0,1925.1351351351
1,30,1,1,10,90,16,4096,0,14.0555555556
1,4,1,8,90,10,16,4096,0,736.6944444444
1,8,1,1,0,100,16,4096,0,0
1,20,1,1,0,100,16,4096,0,0
1,8,2,4,25,75,16,4096,0,114.2222222222
1,6,4,4,50,50,16,4096,0,267.3055555556
1,10,1,1,90,10,16,4096,0,178.9166666667
1,10,2,4,100,0,16,4096,0,1357.7222222222
1,10,2,8,0,100,16,4096,0,0
1,30,4,4,100,0,16,4096,0,1070.6388888889
1,4,2,8,0,100,16,4096,0,0
1,8,4,32,90,10,16,4096,0,2921.2432432433
1,4,1,1,10,90,16,4096,0,15.7222222222
1,20,2,4,10,90,16,4096,0,34.1944444444
1,20,2,16,0,100,16,4096,0,0
1,20,2,2,100,0,16,4096,0,383.8333333333
1,8,2,16,25,75,16,4096,0,129.5405405405
1,8,4,8,0,100,16,4096,0,0
1,10,2,8,75,25,16,4096,0,926.0555555556
1,4,2,2,100,0,16,4096,0,350
1,4,1,1,0,100,16,4096,0,0
1,6,4,16,10,90,16,4096,0,42.4166666667
1,8,1,2,50,50,16,4096,0,148.5
1,6,2,16,50,50,16,4096,0,364.9166666667
1,10,4,32,90,10,16,4096,0,3159.6666666667
1,20,1,4,0,100,16,4096,0,0
1,6,2,8,10,90,16,4096,0,43.0833333333
1,8,4,32,0,100,16,4096,0,0
1,30,1,8,75,25,16,4096,0,713.4444444444
1,10,1,2,90,10,16,4096,0,351.9166666667
1,4,2,2,25,75,16,4096,0,57.3333333333
1,8,2,16,10,90,16,4096,0,42.6486486486
1,10,4,8,0,100,16,4096,0,0
1,6,2,2,25,75,16,4096,0,63.8888888889
1,10,4,16,75,25,16,4096,0,1117.3888888889
1,30,4,8,90,10,16,4096,0,1381.6111111111
1,4,4,16,100,0,16,4096,0,1846.1388888889
1,6,2,4,100,0,16,4096,0,989.5833333333
1,10,4,8,100,0,16,4096,0,2741.3611111111
1,8,1,4,90,10,16,4096,0,720.1666666667
1,4,1,2,25,75,16,4096,0,59.6944444444
1,30,1,1,100,0,16,4096,0,38.8333333333
1,20,4,32,75,25,16,4096,0,1116.3611111111
1,30,4,32,100,0,16,4096,0,4128.4722222222
1,30,2,16,0,100,16,4096,0,0
1,20,4,16,0,100,16,4096,0,0
1,4,4,8,0,100,16,4096,0,0
1,8,4,16,90,10,16,4096,0,2502.3333333333
1,30,4,8,25,75,16,4096,0,123.8611111111
1,20,2,16,50,50,16,4096,0,365.6486486486
1,6,1,1,90,10,16,4096,0,159.0555555556
1,4,2,8,10,90,16,4096,0,37.1388888889
1,6,1,2,0,100,16,4096,0,0
1,10,4,32,100,0,16,4096,0,5481.9444444445
1,20,4,16,100,0,16,4096,0,2264
1,4,1,1,75,25,16,4096,0,109.4722222222
1,10,1,8,100,0,16,4096,0,1383.3055555556
1,4,4,32,10,90,16,4096,0,37.5675675676
1,30,4,32,0,100,16,4096,0,0
1,4,1,4,100,0,16,4096,0,592.3333333333
1,4,2,8,90,10,16,4096,0,803.8611111111
1,6,2,4,0,100,16,4096,0,0
1,20,4,8,50,50,16,4096,0,360.6756756757
1,8,1,4,0,100,16,4096,0,0
1,20,1,1,75,25,16,4096,0,95.8888888889
1,10,2,8,25,75,16,4096,0,127.8611111111
1,10,4,4,10,90,16,4096,0,36.1666666667
1,8,2,8,90,10,16,4096,0,1518.4166666667
1,20,1,8,25,75,16,4096,0,121.6756756757
1,30,1,8,10,90,16,4096,0,40.5833333333
1,4,2,16,25,75,16,4096,0,111.0277777778
1,20,1,1,90,10,16,4096,0,108
1,30,4,8,100,0,16,4096,0,1539.5
1,4,4,8,90,10,16,4096,0,809.7777777778
1,4,4,16,25,75,16,4096,0,114.0277777778
1,30,4,16,0,100,16,4096,0,0
1,4,1,2,90,10,16,4096,0,252.3888888889
1,30,2,2,50,50,16,4096,0,143.6944444444
1,10,4,4,75,25,16,4096,0,658.6388888889
1,30,1,4,100,0,16,4096,0,497.3611111111
1,20,4,8,0,100,16,4096,0,0
1,10,2,16,25,75,16,4096,0,123.2777777778
1,4,4,4,50,50,16,4096,0,193.6944444444
1,30,2,4,75,25,16,4096,0,520.7777777778
1,30,4,16,75,25,16,4096,0,1074.4722222222
1,20,2,8,10,90,16,4096,0,41.75
1,6,4,16,50,50,16,4096,0,379.4722222222
1,4,2,16,75,25,16,4096,0,758.5555555556
1,20,1,2,50,50,16,4096,0,109.0277777778
1,30,1,4,50,50,16,4096,0,217.5
1,10,2,2,10,90,16,4096,0,25.3055555556
1,4,1,8,0,100,16,4096,0,0
1,30,2,2,0,100,16,4096,0,0
1,6,4,32,75,25,16,4096,0,1078.3611111111
1,6,1,4,75,25,16,4096,0,411.1666666667
1,4,1,8,75,25,16,4096,0,381.1081081081
1,8,4,4,50,50,16,4096,0,302.5833333333
1,6,2,16,0,100,16,4096,0,0
1,10,1,8,10,90,16,4096,0,44.1944444444
1,8,4,32,50,50,16,4096,0,366.3513513514
1,10,2,16,0,100,16,4096,0,0
1,6,2,4,25,75,16,4096,0,105.5555555556
1,6,4,32,90,10,16,4096,0,3079.75
1,30,1,8,25,75,16,4096,0,119.1111111111
1,8,1,8,10,90,16,4096,0,43.2222222222
1,6,4,8,90,10,16,4096,0,1437.5277777778
1,10,2,16,90,10,16,4096,0,2303.0555555556
1,10,4,16,100,0,16,4096,0,4205.9166666667
1,4,4,4,10,90,16,4096,0,35.7777777778
1,30,4,4,90,10,16,4096,0,750.75
1,10,1,2,50,50,16,4096,0,155.9444444444
1,10,1,1,75,25,16,4096,0,140
1,8,4,8,50,50,16,4096,0,376.6111111111
1,6,4,4,10,90,16,4096,0,37.1111111111
1,20,4,4,0,100,16,4096,0,0
1,4,2,16,50,50,16,4096,0,313.4444444444
1,6,4,16,90,10,16,4096,0,2235.5555555556
