$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,20,4,32,50,50,16,4096,0,388.2383333333
1,4,1,8,25,75,16,4096,0,92.9930555556
1,10,2,2,100,0,16,4096,0,0
1,20,2,4,0,100,16,4096,0,59.5555555556
1,4,4,16,90,10,16,4096,0,81.59
1,4,4,32,25,75,16,4096,0,392.5258333333
1,8,1,1,50,50,16,4096,0,31.2147222222
1,10,4,4,50,50,16,4096,0,51.6766666667
1,4,4,8,75,25,16,4096,0,67.2247222222
1,10,4,32,25,75,16,4096,0,390.6002702703
1,30,2,2,10,90,16,4096,0,41.9952777778
1,30,4,8,50,50,16,4096,0,85.7677777778
1,4,4,4,90,10,16,4096,0,35.9158333333
1,8,4,4,0,100,16,4096,0,54.9202777778
1,20,2,8,90,10,16,4096,0,53.432972973
1,4,2,8,75,25,16,4096,0,57.8425
1,4,4,4,75,25,16,4096,0,42.0505555556
1,10,1,2,0,100,16,4096,0,39.0872222222
1,20,2,8,100,0,16,4096,0,0
1,30,4,32,25,75,16,4096,0,411.5477777778
1,10,2,2,0,100,16,4096,0,39.2286111111
1,6,2,8,50,50,16,4096,0,79.1088888889
1,20,2,4,75,25,16,4096,0,39.1486111111
1,10,2,2,50,50,16,4096,0,37.4863888889
1,4,4,8,10,90,16,4096,0,105.5897222222
1,30,2,16,50,50,16,4096,0,183.7841666667
1,4,2,4,75,25,16,4096,0,42.0966666667
1,8,1,2,75,25,16,4096,0,32.5875
1,4,2,4,100,0,16,4096,0,0
1,10,2,2,90,10,16,4096,0,32.2686111111
1,6,4,32,25,75,16,4096,0,370.5719444444
1,8,4,16,50,50,16,4096,0,176.4033333333
1,30,1,2,10,90,16,4096,0,38.8241666667
1,20,1,2,90,10,16,4096,0,34.4933333333
1,8,1,8,0,100,16,4096,0,101.5258333333
1,20,4,16,75,25,16,4096,0,138.0622222222
1,20,1,8,90,10,16,4096,0,41.1794444444
1,20,1,2,100,0,16,4096,0,0
1,10,4,4,90,10,16,4096,0,37.3433333333
1,30,1,8,50,50,16,4096,0,79.4978378378
1,20,1,4,10,90,16,4096,0,56.9580555556
1,6,2,4,75,25,16,4096,0,43.7294444444
1,20,2,8,50,50,16,4096,0,85.2691666667
1,30,2,4,0,100,16,4096,0,59.8016666667
1,6,2,2,10,90,16,4096,0,37.0105555556
1,4,1,8,10,90,16,4096,0,104.8516666667
1,30,4,16,10,90,16,4096,0,205.3897222222
1,20,2,8,25,75,16,4096,0,95.9577777778
1,20,4,8,100,0,16,4096,0,0
1,30,4,32,50,50,16,4096,0,397.1289189189
1,8,2,8,50,50,16,4096,0,83.6847222222
1,10,1,4,50,50,16,4096,0,49.5688888889
1,30,2,4,10,90,16,4096,0,59.0727777778
1,8,4,8,75,25,16,4096,0,67.8119444444
1,8,2,16,0,100,16,4096,0,201.4944444444
1,8,1,2,10,90,16,4096,0,39.3055555556
1,4,1,1,100,0,16,4096,0,0
1,10,1,4,25,75,16,4096,0,51.8758333333
1,8,2,4,75,25,16,4096,0,45.5872222222
1,20,1,2,10,90,16,4096,0,40.1377777778
1,6,2,4,50,50,16,4096,0,47.9366666667
1,4,1,8,100,0,16,4096,0,0
1,20,1,4,75,25,16,4096,0,36.4583333333
1,10,2,4,90,10,16,4096,0,35.0147222222
1,4,1,4,50,50,16,4096,0,44.1683333333
1,10,2,16,50,50,16,4096,0,181.5444444444
1,20,4,16,90,10,16,4096,0,100.9391891892
1,30,1,1,10,90,16,4096,0,32.5319444444
1,4,1,8,90,10,16,4096,0,50.8033333333
1,8,1,1,0,100,16,4096,0,32.2786111111
1,20,1,1,0,100,16,4096,0,33.4105555556
1,8,2,4,25,75,16,4096,0,51.8752777778
1,6,4,4,50,50,16,4096,0,46.2566666667
1,10,1,1,90,10,16,4096,0,33.475
1,10,2,4,100,0,16,4096,0,0
1,10,2,8,0,100,16,4096,0,102.7688888889
1,30,4,4,100,0,16,4096,0,0
1,4,2,8,0,100,16,4096,0,110.9783333333
1,8,4,32,90,10,16,4096,0,179.4327027027
1,4,1,1,10,90,16,4096,0,29.4308333333
1,20,2,4,10,90,16,4096,0,57.9047222222
1,20,2,16,0,100,16,4096,0,203.4244444444
1,20,2,2,100,0,16,4096,0,0
1,8,2,16,25,75,16,4096,0,193.1908108108
1,8,4,8,0,100,16,4096,0,104.4352777778
1,10,2,8,75,25,16,4096,0,70.6961111111
1,4,2,2,100,0,16,4096,0,0
1,4,1,1,0,100,16,4096,0,28.35
1,6,4,16,10,90,16,4096,0,195.7252777778
1,8,1,2,50,50,16,4096,0,36.0497222222
1,6,2,16,50,50,16,4096,0,172.2386111111
1,10,4,32,90,10,16,4096,0,194.5591666667
1,20,1,4,0,100,16,4096,0,58.7888888889
1,6,2,8,10,90,16,4096,0,99.0591666667
1,8,4,32,0,100,16,4096,0,403.4013513514
1,30,1,8,75,25,16,4096,0,52.3869444444
1,10,1,2,90,10,16,4096,0,31.6058333333
1,4,2,2,25,75,16,4096,0,36.7805555556
1,8,2,16,10,90,16,4096,0,198.4472972973
1,10,4,8,0,100,16,4096,0,103.5583783784
1,6,2,2,25,75,16,4096,0,37.7688888889
1,10,4,16,75,25,16,4096,0,147.7269444444
1,30,4,8,90,10,16,4096,0,42.4880555556
1,4,4,16,100,0,16,4096,0,0
1,6,2,4,100,0,16,4096,0,0
1,10,4,8,100,0,16,4096,0,0
1,8,1,4,90,10,16,4096,0,33.3680555556
1,4,1,2,25,75,16,4096,0,36.3786111111
1,30,1,1,100,0,16,4096,0,0
1,20,4,32,75,25,16,4096,0,325.4261111111
1,30,4,32,100,0,16,4096,0,0
1,30,2,16,0,100,16,4096,0,207.2337837838
1,20,4,16,0,100,16,4096,0,207.4319444444
1,4,4,8,0,100,16,4096,0,112.7113888889
1,8,4,16,90,10,16,4096,0,96.7747222222
1,30,4,8,25,75,16,4096,0,94.3641666667
1,20,2,16,50,50,16,4096,0,176.8791891892
1,6,1,1,90,10,16,4096,0,31.9033333333
1,4,2,8,10,90,16,4096,0,106.0316666667
1,6,1,2,0,100,16,4096,0,40.6855555556
1,10,4,32,100,0,16,4096,0,0
1,20,4,16,100,0,16,4096,0,0
1,4,1,1,75,25,16,4096,0,28.855
1,10,1,8,100,0,16,4096,0,0
1,4,4,32,10,90,16,4096,0,422.4410810811
1,30,4,32,0,100,16,4096,0,412.6440540541
1,4,1,4,100,0,16,4096,0,0
1,4,2,8,90,10,16,4096,0,48.4230555556
1,6,2,4,0,100,16,4096,0,53.7544444444
1,20,4,8,50,50,16,4096,0,85.9391891892
1,8,1,4,0,100,16,4096,0,55.8051351351
1,20,1,1,75,25,16,4096,0,32.4508333333
1,10,2,8,25,75,16,4096,0,96.9291666667
1,10,4,4,10,90,16,4096,0,55.2516666667
1,8,2,8,90,10,16,4096,0,52.0502777778
1,20,1,8,25,75,16,4096,0,93.1724324324
1,30,1,8,10,90,16,4096,0,100.5436111111
1,4,2,16,25,75,16,4096,0,195.8405555556
1,20,1,1,90,10,16,4096,0,38.2169444444
1,30,4,8,100,0,16,4096,0,0
1,4,4,8,90,10,16,4096,0,48.375
